31-08-2022 12:33:17.819 [http-nio-8080-exec-5] [ErpPaymentGatewayApplication, ] ERRORc.e.d.c.r.e.GlobalExceptionHandler.handleAllExceptions - test throw form service
31-08-2022 12:34:08.278 [http-nio-8080-exec-2] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleAllExceptions - I can't not be negative
31-08-2022 12:34:11.296 [http-nio-8080-exec-3] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleAllExceptions - I can't not be negative
31-08-2022 12:34:18.573 [http-nio-8080-exec-6] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleAllExceptions - test throw form service
31-08-2022 12:40:43.931 [http-nio-8080-exec-2] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleAllExceptions - test throw form service
31-08-2022 12:40:51.010 [http-nio-8080-exec-4] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleAllExceptions - test throw form service
31-08-2022 12:40:53.779 [http-nio-8080-exec-6] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleAllExceptions - I can't not be negative
31-08-2022 12:40:57.969 [http-nio-8080-exec-8] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleEntityNotFounds - com.example.demo.core.responseFormat.exception.entityExecption.NotFoundException: custom not found exp
31-08-2022 13:10:05.718 [http-nio-8080-exec-6] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleEntityNotFounds - com.example.demo.core.responseFormat.exception.entityExecption.NotFoundException: Category not exist.
31-08-2022 13:11:08.417 [http-nio-8080-exec-1] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleAllExceptions - Unable to find com.example.demo.model.item.Category with id 300; nested exception is javax.persistence.EntityNotFoundException: Unable to find com.example.demo.model.item.Category with id 300
31-08-2022 13:16:54.556 [http-nio-8080-exec-2] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleAllExceptions - Unable to find com.example.demo.model.item.Category with id 300; nested exception is javax.persistence.EntityNotFoundException: Unable to find com.example.demo.model.item.Category with id 300
31-08-2022 13:17:02.810 [http-nio-8080-exec-4] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleAllExceptions - Unable to find com.example.demo.model.item.Category with id 300; nested exception is javax.persistence.EntityNotFoundException: Unable to find com.example.demo.model.item.Category with id 300
31-08-2022 13:18:32.756 [http-nio-8080-exec-1] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleAllExceptions - Unable to find com.example.demo.model.item.Category with id 300; nested exception is javax.persistence.EntityNotFoundException: Unable to find com.example.demo.model.item.Category with id 300
31-08-2022 13:18:39.452 [http-nio-8080-exec-3] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleAllExceptions - Unable to find com.example.demo.model.item.Category with id 300; nested exception is javax.persistence.EntityNotFoundException: Unable to find com.example.demo.model.item.Category with id 300
31-08-2022 13:36:44.235 [http-nio-8080-exec-1] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleEntityAcceptables - javax.persistence.EntityNotFoundException: Unable to find com.example.demo.model.item.Category with id 300
31-08-2022 13:38:42.917 [http-nio-8080-exec-4] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleEntityNotFounds - com.example.demo.core.responseFormat.exception.entityExecption.NotFoundException: Class id 600 doesn't exists
31-08-2022 13:38:48.645 [http-nio-8080-exec-6] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleEntityNotFounds - com.example.demo.core.responseFormat.exception.entityExecption.NotFoundException: Class id 600 doesn't exists
31-08-2022 13:40:00.079 [http-nio-8080-exec-9] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleHttpMessageNotReadable - Instantiation of [simple type, class com.example.demo.model.sale.Invoice] value failed for JSON property customerName due to missing (therefore NULL) value for creator parameter customerName which is a non-nullable type
 at [Source: (PushbackInputStream); line: 14, column: 1] (through reference chain: com.example.demo.model.sale.Invoice["customerName"])
31-08-2022 13:40:16.137 [http-nio-8080-exec-10] [ErpPaymentGatewayApplication, ] ERRORc.e.demo.core.GlobalExceptionHandler.handleHttpMessageNotReadable - Instantiation of [simple type, class com.example.demo.model.sale.Invoice] value failed for JSON property customerName due to missing (therefore NULL) value for creator parameter customerName which is a non-nullable type
 at [Source: (PushbackInputStream); line: 14, column: 1] (through reference chain: com.example.demo.model.sale.Invoice["customerName"])
